timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619368375141,8,RegisterCustomer2,200,,Users2 2-12,text,true,,197,453,13,38,http://localhost:9095/register,8,0,0
1619368375068,83,ApplyLoan1,200,,Users3 3-10,text,true,,205,309,24,38,http://localhost:9090/applyLoan,83,0,0
1619368375047,104,ApplyLoan1,200,,Users3 3-7,text,true,,205,309,24,38,http://localhost:9090/applyLoan,104,0,1
1619368375138,22,UpdateUser2,200,,Users3 3-2,text,true,,183,453,24,38,http://localhost:9095/update/104,22,0,0
1619368375111,51,UpdateUser3,200,,Users2 2-5,text,true,,186,452,13,38,http://localhost:9095/update/33,51,0,0
1619368375089,73,Loginuser3,200,,Users2 2-4,text,true,,183,214,13,38,http://localhost:9095/login,73,0,0
1619368375096,67,RegisterCustomer1,200,,Users2 2-11,text,true,,197,452,13,38,http://localhost:9095/register,67,0,1
1619368375107,57,ApplyLoan2,200,,Users2 2-2,text,true,,176,309,13,38,http://localhost:9090/applyLoan,57,0,0
1619368375163,2,RegisterCustomer2,200,,Users2 2-11,text,true,,197,453,13,38,http://localhost:9095/register,2,0,0
1619368375129,46,Loginuser1,200,,Users3 3-12,text,true,,180,215,26,41,http://localhost:9095/login,46,0,0
1619368375143,32,UpdateUser1,200,,Users2 2-3,text,true,,215,453,14,41,http://localhost:9095/update/104,32,0,0
1619368375076,101,ApplyLoan1,200,,Users2 2-1,text,true,,205,309,14,41,http://localhost:9090/applyLoan,101,0,1
1619368375175,2,UpdateUser2,200,,Users2 2-3,text,true,,183,453,14,41,http://localhost:9095/update/104,2,0,0
1619368375140,38,ApplyLoan1,200,,Users3 3-8,text,true,,205,309,26,41,http://localhost:9090/applyLoan,38,0,0
1619368375078,105,RegisterCustomer1,200,,Users3 3-16,text,true,,197,452,26,41,http://localhost:9095/register,105,0,1
1619368374997,186,ApplyLoan2,200,,Users3 3-11,text,true,,176,309,26,41,http://localhost:9090/applyLoan,186,0,0
1619368375151,32,ApplyLoan2,200,,Users3 3-10,text,true,,176,309,26,41,http://localhost:9090/applyLoan,32,0,0
1619368375088,96,RegisterCustomer2,200,,Users2 2-9,text,true,,197,453,14,41,http://localhost:9095/register,96,0,0
1619368375183,2,RegisterCustomer2,200,,Users3 3-16,text,true,,197,453,26,41,http://localhost:9095/register,2,0,0
1619368375148,38,RegisterCustomer1,200,,Users3 3-24,text,true,,197,452,26,41,http://localhost:9095/register,38,0,1
1619368375183,4,ApplyLoan1,200,,Users3 3-11,text,true,,176,308,26,41,http://localhost:9090/applyLoan,4,0,0
1619368375186,2,RegisterCustomer2,200,,Users3 3-24,text,true,,197,453,26,41,http://localhost:9095/register,2,0,0
1619368375187,2,RegisterCustomer1,200,,Users3 3-11,text,true,,197,452,26,41,http://localhost:9095/register,2,0,0
1619368374840,351,RegisterCustomer3,200,,Users3 3-1,text,true,,1728,124,26,41,http://localhost:9095/register,351,0,0
1619368374934,273,RegisterCustomer3,200,,Users2 2-7,text,true,,1728,124,15,42,http://localhost:9095/register,273,0,0
1619368375017,200,RegisterCustomer3,200,,Users2 2-10,text,true,,1728,124,15,44,http://localhost:9095/register,200,0,0
1619368375014,204,RegisterCustomer3,200,,Users3 3-17,text,true,,1728,124,28,44,http://localhost:9095/register,204,0,0
1619368375076,145,RegisterCustomer3,200,,Users3 3-14,text,true,,1728,124,28,44,http://localhost:9095/register,145,0,0
1619368375108,115,RegisterCustomer3,200,,Users3 3-3,text,true,,1728,124,28,44,http://localhost:9095/register,115,0,0
1619368375160,66,UpdateUser3,200,,Users3 3-2,text,true,,186,452,28,44,http://localhost:9095/update/33,66,0,0
1619368375189,37,RegisterCustomer2,200,,Users3 3-11,text,true,,197,453,28,44,http://localhost:9095/register,37,0,0
1619368375096,133,RegisterCustomer1,200,,Users3 3-18,text,true,,197,452,28,44,http://localhost:9095/register,133,0,1
1619368375151,78,ApplyLoan2,200,,Users3 3-7,text,true,,176,309,28,44,http://localhost:9090/applyLoan,78,0,0
1619368375110,120,ApplyLoan1,200,,Users3 3-4,text,true,,205,309,28,44,http://localhost:9090/applyLoan,120,0,1
1619368375150,82,ApplyLoan1,200,,Users2 2-6,text,true,,205,309,15,45,http://localhost:9090/applyLoan,82,0,0
1619368375229,5,RegisterCustomer2,200,,Users3 3-18,text,true,,197,453,29,45,http://localhost:9095/register,5,0,0
1619368375230,8,ApplyLoan2,200,,Users3 3-4,text,true,,176,309,29,45,http://localhost:9090/applyLoan,8,0,0
